predicate,edge_sab,edge_count
HAS_CODE,,21279506
HAS_TERM,,11114862
refers_to,DGN,7870653
inverse_refers_to,DGN,7870653
part_of,ERCCREG,4925800
has_part,ERCCREG,4925800
regulates,ERCCREG,4804247
regulated_by,ERCCREG,4804247
isa,ERCCREG,4793066
inverse_isa,ERCCREG,4793066
expressed_in,GTEXEXP,4145472
expresses,GTEXEXP,4145472
HAS_SEMANTIC,,3781935
PT_DGN,,3702956
location_of,GTEXEQTL,3093237
located_in,GTEXEQTL,3093237
above_1kbp_band,HSCLO,3088297
inverse_above_1kbp_band,HSCLO,3088297
precedes_1kbp_band,HSCLO,3088273
inverse_precedes_1kbp_band,HSCLO,3088273
SY,,2515210
PT_ERCCREG,,2259986
PT,,2221626
has_expression,GTEXEXP,2073492
inverse_has_expression,GTEXEXP,2073492
p_value,GTEXEQTL,1025446
inverse_p_value,GTEXEQTL,1025446
FN,,842273
SCN,,761692
par,NCBI,761555
chd,NCBI,761555
HAS_DEFINITION,,687695
inverse_targets_expression_of_gene,MSIGDB,670529
targets_expression_of_gene,MSIGDB,670529
isa,MEDCIN,669411
inverse_isa,MEDCIN,669411
ro,MTH,667202
associated_with,HGNCHPO,657308
inverse_associated_with,HGNCHPO,657308
aq,MSH,633885
qb,MSH,633885
inverse_positively_correlated_with_chemical_or_drug,CMAP,625812
positively_correlated_with_chemical_or_drug,CMAP,625812
isa,SNOMEDCT_US,625662
inverse_isa,SNOMEDCT_US,625662
inverse_negatively_correlated_with_chemical_or_drug,CMAP,600079
negatively_correlated_with_chemical_or_drug,CMAP,600079
inverse_coexpressed_with,GTEXCOEXP,539017
coexpressed_with,GTEXCOEXP,539017
has_inactive_ingredient,MTHSPL,500390
inactive_ingredient_of,MTHSPL,500390
inverse_pathway_associated_with_gene,MSIGDB,486613
pathway_associated_with_gene,MSIGDB,486613
PT_GENCODE,,478674
overlaps,ERCCRBP,469588
inverse_overlaps,ERCCRBP,469588
PT_ERCCRBP,,462297
molecularly_interacts_with,ERCCRBP,462297
inverse_molecularly_interacts_with,ERCCRBP,462297
inverse_interacts_with,STRING,459496
interacts_with,STRING,459496
mapped_from,MSH,436550
mapped_to,MSH,436550
inverse_bioactivity,IDGP,428636
bioactivity,IDGP,428636
subset_includes_concept,NCI,404979
concept_in_subset,NCI,404979
CE,,325178
PT_IDGP,,324926
NM,,324067
PT_IDGD,,323901
